FeatureURI,Name,UTM_E,UTM_N,UTMDatumZone,LatDegree,LongDegree,SRS,LocationUncertaintyStatement,LocationUncertaintyCode,LocationUncertaintyRadius,LocationKeyword,HeatApplication,Temperature,TempUnits,TempMeasurementProcedure,Flow,FlowUnits,FlowMeasurementProcedure,Capacity,CapacityUnits,CapacityProcedure,EnergyUse,EnergyUseUnits,EnergyUseProcedure,LoadFactor,FacilityContact,PostalAddress,Zip,Phone,EMailAddress,Source,MetadataURI
OR_035_GFLR_01,"""Gone Fishing""|Liskey Ranch",604264.4476,4656429.144,10 T,42.053,-121.74,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Klamath County|
Klamath Hills",Animal Aquaculture,180,F,unknown,200,gpm,unknown,1.2,MWt,unknown,8.2,GWh/yr,unknown,0.8,Ron Barnes,"3875 Lower Klamath lake Rd.  Klamath Falls, OR",97603,541 798-5202,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.  
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dua0181.htm",
OR_035_CKF_03,City of Klamath Falls,600541.2393,4675476.994,10 T,42.225,-121.7817,EPSG:4326,"General City location 
lat/long from USGS Quadrangle/
National Map Accuracy Standard",1,80,"Klamath County|
Klamath Falls, OR",District Heating,210,F,unknown,1000,gpm,unknown,4.7,MWt,unknown,10.3,GWh/yr,unknown,0.25,,"500 Klamath Ave.
Box 237
Klamath Falls, OR",97601,541 883-5316,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dud0015.htm
",
OR_035_OIT_04,"Oregon Institute of Technology
Technology (OIT)",600137.3371,4678914.044,10 T,42.256,-121.786,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Klamath County|
Klamath Falls, OR",District Heating,192,F,unknown,745,gpm,unknown,6.2,MWt,unknown,16.1,GWh/yr,unknown,0.25,,"3201 Campus Dr.
Klamath Falls, OR",97601,541 885-1691,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dud0016.htm
",
OR_029_JG_06,Jackson Greenhouses,524192.1108,4671246.796,10 T,42.193,-122.707,EPSG:4326,"General City location 
lat/long from USGS Quadrangle/
National Map Accuracy Standard",1,80,"Jackson County|
Ashland, OR",Aquaculture,111,F,unknown,30,gpm,unknown,0.09,MWt,unknown,0.2,GWh/yr,unknown,0.19,,"2253 Hwy 99 North Ashland, OR",97520,541 482 3776,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.  
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dug0149.htm",
OR_035_LG_07,Liskey Greenhouses,604103.8451,4656093.608,10 T,42.05,-121.742,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Klamath County|
Klamath Hills",Aquaculture,199,F,unknown,400,gpm,unknown,1.7,MWt,unknown,4.5,GWh/yr,unknown,0.3,Vicki Azcuenaga,"4650 Lower Klamath Lake Rd.
Klamath Falls, OR",97603,541 798-5305    541 798 5770,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.  
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dug0150.htm",
OR_037_TG_08,The Greenhouse,717471.8607,4677788.28,10 T,42.222,-120.365,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Lake County|
Lakeview, OR",Aquaculture,220,F,unknown,315,gpm,unknown,1.4,MWt,unknown,3.6,GWh/yr,unknown,0.3,Andy Parker,"95709 Sunny Slope Ln.  Lakeview, OR",97630,"541 947-3923
541 947-5152",,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.  
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dug0151.htm",
OR_035_CKF_10,City of Klamath Falls,600541.2393,4675476.994,10 T,42.225,-121.7817,EPSG:4326,General City lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Klamath County|
Klamath Falls, OR","Snow
Melting",125,F,unknown,300,gpm,unknown,1.2,MWt,unknown,1,GWh/yr,unknown,0.1,,"Klamath Falls, OR",,,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dui0197.htm",
OR_035_HN_11,Herald and News,602660.5657,4675618.674,10 T,42.226,-121.756,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Klamath County|
Klamath Falls, OR","Snow
Melting",>212,F,unknown,,,unknown,,,,0.3,GWh/yr,unknown,,,"P.O. Box 788
2701 Foothills Blvd.
Klamath Falls, OR","97601 (PO)
97603",541 885-4410,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf",
OR_035_HD_12,Highway De-icing,600541.2393,4675476.994,10 T,42.225,-121.7817,EPSG:4326,General City lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Klamath County|
Klamath Falls, OR","Snow
Melting",190,F,unknown,,,unknown,0.12,MWt,unknown,0.73,GWh/yr,unknown,0.71,,"Klamath Falls, OR",,,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dui0193.htm",
OR_035_OIT_13,"Oregon Institute of Technology (OIT)
Technology (OIT)",600137.3371,4678914.044,10 T,42.256,-121.786,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Klamath County|
Klamath Falls, OR","Snow
Melting",150,F,unknown,50,gpm,unknown,0.06,MWt,unknown,0.1,GWh/yr,unknown,0.11,,"3201 Campus Dr.
Klamath Falls, OR",97601,541 885-1691,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dui0198.htm",
